Project,Dataset,Table
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220704
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220711
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220718
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220725
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220801
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220808
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220815
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220822
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220829
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220905
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220912
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220919
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20220926
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221003
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221010
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221017
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221024
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221031
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221107
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221114
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221121
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221128
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221205
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221212
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221219
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20221226
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230109
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230116
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230123
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230130
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230206
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230213
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230220
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230227
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230306
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230313
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230320
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230327
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230403
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230410
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230417
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_missing_20230424
